"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q1",2,-0.474766682420224,-0.481353650521918,-0.894672863711582,-0.90549574924492,4.69736842105263,-181454.04657308,-183953.04657308,-4.72187106569767
"2021_Q3",2,1.70645060857698,1.69723901398961,3.68550531150131,3.66350582795499,5.50632911392405,546483.25979222,543438.25979222,23.0724523461037
"2021_Q4",2,-0.905730300119656,-0.91528200162866,-0.888594057089641,-0.896634139461818,4.81012658227848,-255711.315902269,-258371.315902269,-4.98026265502796
"2022_Q2",2,1.05137627503542,1.04325669689869,1.61321647542249,1.59809593469026,4.94871794871795,345906.952325539,343204.952325539,9.33020791835443
"2022_Q4",2,-1.04000686149454,-1.04744375230955,-1.80156405214719,-1.80981991876039,4.82051282051282,-374970.231746932,-377602.231746932,-10.7391842602221
"2023_Q1",2,-0.732654259002917,-0.739108496192241,-0.903775628829578,-0.911132501296171,5,-313790.549720192,-316520.549720192,-5.24574348198943
"2023_Q2",2,2.12263108672587,2.11600339565653,4.47148811167264,4.45536576887522,4.80519480519481,800262.175219746,797672.175219746,29.7694072330509
